trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.3, 'e': 0.5168513344916992}",20,13,13.479545906797501,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.5117085777865424}",25,11,-78.8687326071181,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.3, 'e': 0.5066169923655895}",30,0,-13.731686990480416,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.3, 'e': 0.5015760690660555}",20,14,1.8331497802500343,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.49658530379140947}",25,1,-106.5518845672405,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 2}",1
71,False,"{'a': 0.3, 'e': 0.4916441974609651}",30,15,22.207153057558216,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.4867522559599717}",20,0,-31.24417270507626,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.3, 'e': 0.48190899009020244}",30,13,-24.09634345253624,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.3, 'e': 0.4771139155210344}",20,0,-30.18820988665169,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.3, 'e': 0.4723665527410147}",30,7,-33.065564555564784,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.3, 'e': 0.46766642700990924}",30,18,-37.4079360823947,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.46301306831122807}",30,5,-133.09215025335556,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",1
78,False,"{'a': 0.3, 'e': 0.4584060113052235}",25,0,-69.40530712886735,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.3, 'e': 0.45384479528235583}",30,18,-4.611063428342596,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.44932896411722156}",20,10,-40.90330466892614,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.3, 'e': 0.4448580662229411}",20,0,-24.653198181212073,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
